
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
3,-9.973,8.915,4310.969,-10.229
7,-9.919,10.854,437.485,-9.600
12,-9.872,9.030,-416.917,-9.532
16,-9.840,7.083,-441.999,-9.765
21,-9.808,8.709,370.546,-10.142
25,-9.788,6.457,-509.021,-10.171
29,-9.773,4.388,-465.505,-10.036
34,-9.765,5.373,221.787,-10.542
38,-9.765,7.785,545.256,-11.448
42,-9.752,5.740,-462.851,-10.320
47,-9.740,7.449,385.813,-10.779
51,-9.730,5.694,-397.223,-10.477
56,-9.717,5.839,32.666,-10.365
61,-9.705,7.938,478.404,-10.809
65,-9.708,6.541,-317.199,-11.288
69,-9.714,3.060,-785.405,-10.677
74,-9.709,2.747,-70.809,-10.024
78,-9.694,3.717,220.936,-9.773
82,-9.698,1.930,-406.707,-10.305
86,-9.684,4.358,548.707,-9.926
91,-9.661,4.358,0.000,-9.508
96,-9.661,1.129,-762.998,-9.902
100,-9.671,0.701,-97.067,-10.310
104,-9.665,1.511,183.068,-9.692
109,-9.676,1.098,-93.345,-10.463
113,-9.691,0.549,-124.011,-10.511
118,-9.709,-0.062,-136.680,-10.569
122,-9.730,-0.528,-104.406,-10.644
126,-9.761,-1.497,-216.399,-10.991
131,-9.788,0.457,435.427,-11.201
135,-9.818,-0.703,-260.626,-11.130
140,-9.846,-1.352,-145.353,-10.935
145,-9.863,-2.955,-357.505,-10.048
149,-9.893,-1.886,238.763,-10.950
153,-9.909,-0.741,256.275,-10.524
158,-9.928,-0.421,71.693,-10.753
162,-9.940,-2.703,-514.992,-9.958
166,-9.949,0.793,787.429,-10.568
171,-9.953,-3.665,-999.555,-9.348
175,-9.990,-8.367,-1059.074,-9.948
180,-9.987,-3.070,1185.701,-9.190
185,-9.970,-0.238,634.991,-9.061
189,-9.973,-2.948,-611.997,-9.476
194,-9.944,-3.367,-94.221,-7.793
198,-9.940,-3.856,-110.632,-8.916
202,-9.936,-3.031,185.348,-9.080
207,-9.922,-1.505,345.724,-8.936
211,-9.913,-2.535,-232.312,-8.889
215,-9.892,-2.512,5.135,-8.345
219,-9.879,-5.077,-588.276,-8.134
225,-9.858,-6.138,-238.550,-7.512
229,-9.867,-5.329,181.752,-9.145
233,-9.862,-4.543,177.405,-8.641
238,-9.860,-4.596,-12.067,-8.755
242,-9.860,-4.688,-20.800,-8.841
246,-9.827,-2.650,464.064,-7.654
251,-9.835,-9.581,-1566.749,-8.130
255,-9.820,-4.184,1201.457,-8.181
259,-9.811,-7.428,-726.113,-7.736
264,-9.804,-6.719,159.176,-7.975
269,-9.787,-8.390,-376.861,-7.139
274,-9.764,-7.467,207.100,-7.028
278,-9.762,-9.665,-497.392,-7.537
282,-9.767,-9.421,54.770,-7.955
286,-9.731,-5.421,909.918,-6.834
291,-9.711,-7.451,-457.328,-7.069
295,-9.713,-10.207,-617.322,-7.572
300,-9.706,-10.108,22.092,-7.156
304,-9.702,-8.077,458.567,-7.744
308,-9.686,-7.566,115.295,-7.258
314,-9.696,-10.864,-742.728,-7.836
318,-9.697,-6.833,897.269,-8.243
322,-9.688,-7.932,-247.131,-7.499
327,-9.680,-9.780,-415.690,-7.181
331,-9.676,-10.970,-267.484,-7.077
335,-9.679,-9.192,397.725,-7.816
340,-9.678,-10.115,-207.845,-7.435
344,-9.682,-10.024,20.356,-7.649
348,-9.681,-8.932,246.523,-7.712
354,-9.677,-9.566,-142.700,-7.402
358,-9.685,-9.787,-49.859,-7.947
362,-9.683,-8.207,358.800,-7.802
367,-9.703,-9.871,-376.839,-8.576
371,-9.718,-10.848,-219.277,-8.063
375,-9.727,-10.421,95.505,-7.900
380,-9.740,-11.558,-257.331,-7.857
384,-9.754,-11.528,6.798,-7.879
388,-9.773,-11.184,78.071,-8.295
393,-9.779,-10.764,94.731,-7.738
398,-9.784,-10.970,-46.421,-7.651
402,-9.797,-13.421,-550.895,-7.490
407,-9.811,-13.833,-91.684,-7.467
411,-9.840,-11.673,485.244,-8.727
416,-9.854,-12.848,-262.405,-7.706
420,-9.858,-10.291,569.798,-7.798
424,-9.885,-13.757,-772.203,-8.188
429,-9.896,-12.306,322.881,-7.733
433,-9.895,-13.871,-349.617,-6.785
438,-9.909,-14.986,-248.773,-7.330
443,-9.936,-18.474,-778.000,-7.191
447,-9.966,-15.108,750.761,-8.111
452,-9.968,-12.169,656.011,-7.398
456,-9.974,-15.245,-688.526,-6.948
460,-9.992,-14.558,152.944,-7.664
465,-10.005,-14.161,88.683,-7.526
469,-10.012,-14.505,-76.745,-7.163
473,-10.021,-13.764,164.839,-7.450
478,-10.034,-15.154,-308.462,-7.334
483,-10.040,-16.238,-238.760,-6.677
488,-10.061,-16.436,-43.988,-7.470
492,-10.059,-13.161,730.984,-7.101
496,-10.074,-15.757,-575.226,-7.311
501,-10.078,-17.100,-296.189,-6.478
505,-10.070,-14.917,483.867,-6.393
510,-10.064,-14.123,176.264,-6.622
